ORSId	ID	Source	Period/Epoch	Area/Site	Material	SWRadical	SWRadicalNumber
ORS00001	T00001	A-00001	商	河南安阳	甲骨	001	一
ORS00002	G00001	A-00238	商	河南安阳	甲骨	001	一
ORS00003	T00005	A-19790	商	河南安阳	甲骨	001	兀
ORS00004	G00004	A-21162	商	河南安阳	甲骨	001	元
ORS00005	G00005	A-27894	商	河南安阳	甲骨	001	元
ORS00006	T00003	A-00722-0	商	河南安阳	甲骨	001	元
ORS00007	G00002	A-00239	商	河南安阳	甲骨	001	元
ORS00008	G00003	A-14829	商	河南安阳	甲骨	001	元
ORS00009	G00007	A-05856	商	河南安阳	甲骨	001	元
ORS00010	T00004	A-19032	商	河南安阳	甲骨	001	元
ORS00011	G00006	A-04489	商	河南安阳	甲骨	001	元
ORS00012	T00006	F-03726	商	河南安阳	甲骨	001	元
ORS00013	T00013	A-00097-1	商	河南安阳	甲骨	001	吏
ORS00014	T00014	A-02153-0	商	河南安阳	甲骨	001	吏
ORS00015	T00015	A-38242	商	河南安阳	甲骨	001	吏
ORS00016	T00016	A-20342	商	河南安阳	甲骨	001	吏
ORS00017	G00009	A-36543	商	河南安阳	甲骨	001	天
ORS00018	G00010	A-17985	商	河南安阳	甲骨	001	天
ORS00019	T00007	A-36535	商	河南安阳	甲骨	001	天
ORS00020	G00008	A-36535	商	河南安阳	甲骨	001	天
ORS00021	T00012	A-22454	商	河南安阳	甲骨	001	天
ORS00022	G00011	A-22054	商	河南安阳	甲骨	001	天
ORS00023	G00013	A-22431	商	河南安阳	甲骨	001	天
ORS00024	T00011	F-02241	商	河南安阳	甲骨	001	天
ORS00025	G00012	A-22093	商	河南安阳	甲骨	001	天
ORS00026	T00008	A-04407	商	河南安阳	甲骨	001	天
ORS00027	T00009	A-18400	商	河南安阳	甲骨	001	天
ORS00028	T00010	F-00643	商	河南安阳	甲骨	001	天
ORS00029	G00014	A-14258	商	河南安阳	甲骨	002	上
ORS00030	T00017	A-10166	商	河南安阳	甲骨	002	上
ORS00031	T00019	A-03337	商	河南安阳	甲骨	002	上
ORS00032	G00015	A-14260	商	河南安阳	甲骨	002	上
ORS00033	T00018	A-30388	商	河南安阳	甲骨	002	上
ORS00034	G00035	A-06222-0	商	河南安阳	甲骨	002	下
ORS00035	G00036	A-06506	商	河南安阳	甲骨	002	下
ORS00036	T00042	A-00897	商	河南安阳	甲骨	002	下
ORS00037	G00037	A-32615	商	河南安阳	甲骨	002	下
ORS00038	T00043	A-00231	商	河南安阳	甲骨	002	下
ORS00039	T00027	A-21174	商	河南安阳	甲骨	002	帝
ORS00040	G00016	A-30391	商	河南安阳	甲骨	002	帝
ORS00041	T00020	A-30388	商	河南安阳	甲骨	002	帝
ORS00042	T00029	A-27438	商	河南安阳	甲骨	002	帝
ORS00043	G00017	A-24982	商	河南安阳	甲骨	002	帝
